"","x"
"1",8.82845804303081
"2",9.72604084563625
"3",9.15226897594879
"4",8.44205470441379
"5",12.82980720275
"6",10.2962748212865
"7",10.4017386291062
"8",10.2975682823266
"9",11.7713514670745
"10",9.70479304117377
"11",7.69273373477654
"12",8.74055055808081
"13",8.84567392561275
"14",7.67074698952924
"15",4.85721980973383
"16",5.07218375216984
"17",5.88770352303841
"18",4.97571890249612
"19",5.17929117828877
"20",5.91491366740603
"21",5.66189984947936
"22",5.54579307991435
"23",5.62426615027673
"24",4.68107027667501
"25",3.79531298061198
"26",4.48780201475451
"27",4.0030026509901
"28",4.41221893185659
"29",3.24945425556029
"30",5.2211409929523
"31",6.43661838392043
"32",5.61947295547102
"33",6.63286502517443
"34",8.03931043476116
"35",9.82073320776308
"36",8.82150262216255
"37",8.02445533505642
"38",8.09677918717102
"39",9.84305150525748
"40",13.6947302563596
"41",12.5457889988594
"42",12.4323747713622
"43",12.510928692029
"44",4.50210004844975
"45",5.47118732332754
"46",6.2842967039188
"47",5.15219060875501
"48",5.25194701201026
"49",6.27964370167836
"50",6.01872311805952
"51",4.06344368537316
"52",3.97283952942727
"53",3.82876112306276
"54",4.39800682117834
"55",5.51031151793062
"56",5.66913873032791
"57",6.11556313189839
"58",7.13627057820554
"59",7.98313370116601
"60",12.8261158797362
"61",16.5570972999241
"62",14.6484392600995
"63",16.6292945821434
"64",21.4147225067313
"65",21.327351043646
"66",18.827031590719
"67",18.1517294868321
"68",21.3257682436814
"69",20.3210454435412
"70",22.8647684118305
"71",26.457113706742
"72",32.231904367773
"73",21.7684200643342
"74",25.4586530152248
"75",21.6693964701473
"76",11.3336521455229
"77",10.8968129894768
"78",14.2228246000833
"79",17.0709067616546
"80",16.8397738644769
"81",15.9608639480962
"82",17.6550164501896
"83",16.529115491088
"84",17.9026129883819
"85",17.4720200727874
"86",15.2413896210206
"87",15.2574990304017
"88",14.2516065075004
"89",15.5642328953764
"90",15.9202697674239
"91",16.1489947132964
"92",13.7531776353259
"93",10.2970331747033
"94",8.96327735871627
"95",10.2673263290407
"96",11.5642645341375
"97",10.9914956506993
"98",12.8165963529291
"99",14.5892503927048
"100",17.2169744797484
"101",17.1028916147363
"102",17.1449176139195
"103",15.9573056447493
"104",16.0444602353179
"105",12.8993929865868
"106",12.5273849511443
"107",13.5134564553771
"108",14.1544335962519
"109",15.63527320423
"110",17.1982557485175
"111",18.1512894353654
"112",19.2010362140216
"113",18.7093017106136
"114",21.1932335628479
"115",26.3631366983048
"116",25.577321148464
