"","x"
"1",22.0986379611437
"2",15.2052688618418
"3",7.18617025722313
"4",10.5938699106795
"5",11.0145645693676
"6",11.9367424362585
"7",15.7760490552446
"8",19.4655208294966
"9",14.132840457208
"10",18.7163150771692
"11",21.8123780404598
"12",30.2775931218653
"13",32.0859989988194
"14",40.3042361444043
"15",46.3427749031376
"16",43.4489350883391
"17",38.2213176337716
"18",44.2882472807865
"19",44.6142376913152
"20",41.7354244462006
"21",36.2382711596055
"22",40.9061141653173
"23",38.8640626708929
"24",39.5666581840951
"25",35.2581970662083
"26",38.6658992588996
"27",41.7091189159723
"28",37.9833192464639
"29",36.4140924569785
"30",45.0647448236661
"31",34.8617349759246
"32",28.2708635674744
"33",25.5350685813803
"34",23.7521009544618
"35",31.281144930888
"36",43.5860367394769
"37",31.3366440114317
"38",48.1557903331787
"39",83.5589148938547
"40",139.328943821126
"41",100.056390751309
"42",125.1900762362
"43",102.182640805787
"44",75.9072054814205
"45",44.1024927204048
"46",40.9786456850825
"47",41.8347664881519
"48",41.9786487943565
"49",25.5879143177731
"50",26.5560048379171
"51",30.6559301510512
"52",33.20358948679
"53",30.7042844688065
"54",29.567000312924
"55",26.9794441450548
"56",27.9903624243841
"57",22.6652695970696
"58",20.3910651208406
"59",23.0572507323664
"60",20.6026331554224
"61",17.5630843826285
"62",18.1930424499162
"63",15.9231767961795
"64",13.5282551140674
"65",14.7166738188397
"66",16.2954138299331
"67",18.4287847507655
"68",16.7746975586299
"69",17.2822893953595
"70",17.4953895746572
"71",17.0463418603067
"72",14.896155712284
"73",14.5668814247642
"74",13.6999162409643
"75",11.3501089968129
"76",10.8913473668246
"77",11.6882219343696
"78",12.4670266680113
"79",12.1536324639002
"80",12.9710448005032
"81",11.7614641085509
"82",11.3305735121727
"83",12.7811426435357
"84",13.3600559539438
"85",12.8284156785575
"86",10.8736770818081
"87",11.0071570338059
"88",10.003917680231
"89",9.38729918034492
"90",10.4137576985324
"91",10.4528625790263
"92",11.3598999286505
"93",10.3544127416885
"94",10.2198810389789
"95",10.6806918314776
"96",11.4470438274988
"97",11.754232323417
"98",11.3836909876738
"99",11.30292135803
"100",11.8251010363759
"101",11.6176747968825
"102",10.4793099660671
"103",10.5067178658812
"104",10.027516416584
"105",10.4670614112779
"106",10.5784940199523
"107",9.93450579835748
"108",10.1269774094428
"109",10.4899554644595
"110",11.1319400061536
"111",10.909699872566
"112",12.772583385686
"113",11.9121953164004
"114",14.6008108838766
"115",17.0549060036674
