"","x"
"1",0.0634532103182075
"2",0.0672158771765587
"3",0.0690801625415589
"4",0.0589821974465024
"5",0.0623982637004883
"6",0.0624210716218654
"7",0.0667618707604427
"8",0.0696393675608456
"9",0.0772783798187955
"10",0.0728232189973615
"11",0.0756258692628651
"12",0.0789564616447823
"13",0.0916666666666667
"14",0.0960471567267684
"15",0.10097054316363
"16",0.113070539419087
"17",0.127780651836524
"18",0.134598792062123
"19",0.14187209101879
"20",0.161971830985915
"21",0.207008547008547
"22",0.222600988580194
"23",0.248766377403437
"24",0.270210597826087
"25",0.31684174855981
"26",0.337390128465179
"27",0.360749873332207
"28",0.351640877401802
"29",0.403885480572597
"30",0.415604283528812
"31",0.452066395663957
"32",0.441191576784797
"33",0.506506849315069
"34",0.528382781684102
"35",0.523619312261202
"36",0.580409864536297
"37",0.645414847161572
"38",0.614574187884109
"39",0.602693602693603
"40",0.701779108684164
"41",1.1506678539626
"42",0.959621225656602
"43",0.882637520157678
"44",0.949019607843137
"45",1.12267525035765
"46",1.11872638963842
"47",1.03802765647744
"48",1.09107468123862
"49",1.12631191309151
"50",1.07076176250934
"51",1.00550389068134
"52",1.06524227394124
"53",1.20772023695777
"54",1.24464012251149
"55",1.37753539992346
"56",1.42560153994225
"57",1.54612260684587
"58",1.56318252730109
"59",1.68475705329154
"60",1.92172897196262
"61",2.10631681243926
"62",2.20062147989901
"63",2.35060147458285
"64",2.83189006024096
"65",2.86926605504587
"66",2.87348119575699
"67",2.99613750482812
"68",3.07457165109034
"69",3.31290385745056
"70",3.47566933750244
"71",3.76267550702028
"72",4.04253253058846
"73",4.47087378640777
"74",4.6208769887466
"75",4.52259215219976
"76",4.63114589604656
"77",5.01298701298701
"78",5.21608140462889
"79",5.49630664803354
"80",5.67816550348953
"81",6.12773577397533
"82",6.38925373134328
"83",6.81290833498317
"84",7.23513139695712
"85",7.84846093133386
"86",8.09582260938428
"87",8.33068362480127
"88",8.61076521389837
"89",8.90682976554536
"90",8.96895052784103
"91",9.05286436394271
"92",9.18584445857173
"93",9.60998708566509
"94",9.52965637995185
"95",9.66777629826897
"96",9.97256301583761
"97",10.5013440860215
"98",10.6701216764308
"99",10.8101409731696
"100",10.9981705922708
"101",11.2049274694911
"102",10.9988323213452
"103",10.9134980988593
"104",11.0370548604427
"105",11.4473493100944
"106",11.5526059425231
"107",11.811357543261
"108",12.3001215066829
"109",13.0190959632584
"110",13.4162071445696
"111",13.4849143132995
"112",11.6757879306132
"113",11.601701275957
"114",9.98871687221202
"115",8.41740088105727
