"","x"
"1",16.7503262287951
"2",16.8257080610022
"3",17.2649498035792
"4",17.7429947460595
"5",18.7366579177603
"6",17.108249672632
"7",16.5858453473132
"8",16.7064741907262
"9",16.0591068301226
"10",15.5821287779238
"11",16.0035026269702
"12",15.5271691498685
"13",12.0839895013123
"14",11.9433962264151
"15",8.67425569176883
"16",8.68755401901469
"17",8.48581255374033
"18",8.81868838405486
"19",9.22103463018384
"20",9.56279267773521
"21",9.95874096129307
"22",10.3684890228153
"23",10.8925909688733
"24",9.70174652933274
"25",10.2341396622547
"26",10.1065308012969
"27",10.2028436018957
"28",10.3227053140097
"29",10.6437007874016
"30",10.0458207452165
"31",10.2335877862595
"32",10.1625514403292
"33",10.3423799582463
"34",10.0026511134677
"35",9.95551982851018
"36",10.0947995666306
"37",10.4929805615551
"38",10.0859504132231
"39",10.5903814262023
"40",11.1303383250139
"41",11.497197309417
"42",11.0084602368866
"43",10.8881317433277
"44",11.1442417331813
"45",11.8324727481354
"46",12.3580886586068
"47",13.0057570523892
"48",12.7550783517121
"49",13.6088218224028
"50",13.4643691588785
"51",12.6298701298701
"52",13.0721893491124
"53",13.2299651567944
"54",14.2204861111111
"55",15.3601156069364
"56",15.8872093023256
"57",16.4389380530973
"58",16.7270029673591
"59",17.2119402985075
"60",17.839039039039
"61",19.2515188335358
"62",18.5492870427774
"63",18.875313283208
"64",19.1360759493671
"65",21.0279542566709
"66",21.1174193548387
"67",22.0427069645204
"68",22.7410358565737
"69",18.9282868525896
"70",18.7265993265993
"71",12.3198529411765
"72",14.910740203193
"73",20.5552346570397
"74",20.9242534595776
"75",20.8590405904059
"76",20.4906924795235
"77",10.0567587752054
"78",10.2959878879637
"79",11.7315026697178
"80",14
"81",17.3463601532567
"82",17.1864274570983
"83",16.7002379064235
"84",17.9049919484702
"85",18.7671009771987
"86",18.7208918249381
"87",19.3693467336683
"88",18.9067005937235
"89",17.3155631986242
"90",17.9540329575022
"91",17.9107611548556
"92",19.0628318584071
"93",16.8845120859445
"94",17.2155094679892
"95",16.2155251141553
"96",18.3029465930018
"97",21.6242884250474
"98",16.4100790513834
"99",17.4118236472946
"100",14.3989898989899
"101",11.9757820383451
"102",12.3258883248731
"103",13.9632653061224
"104",13.7041237113402
"105",14.7639751552795
"106",15.546875
"107",16.4571129707113
"108",17.8864353312303
"109",19.2875264270613
"110",19.517571884984
"111",19.7628755364807
"112",21.195464362851
"113",19.0824295010846
"114",19.7886710239651
"115",20.2847754654984
"116",21.7645764576458
"117",18.4763476347635
