"","x"
"1",2.04839019856459
"2",2.79170315367965
"3",2.6895886873706
"4",2.84144090952381
"5",3.99732981818182
"6",4.42813473636364
"7",4.86072445909091
"8",6.04724901625259
"9",7.66731477033493
"10",7.18187039242424
"11",6.90764551298701
"12",8.32240810454545
"13",8.06161822677345
"14",8.36324104480519
"15",7.29014528787879
"16",7.60524932900433
"17",7.77283369619701
"18",9.09120760651629
"19",10.073947973706
"20",11.4404768095238
"21",12.0028813893429
"22",15.2967261602871
"23",17.7442792630435
"24",17.1210622277056
"25",17.9156993229437
"26",21.5474752138528
"27",23.2658654363636
"28",27.871779176294
"29",35.6747571002392
"30",43.7673332597403
"31",51.1817597142857
"32",50.5123369226129
"33",57.8501030490431
"34",67.5097571699134
"35",81.5943926103896
"36",87.4348011363636
"37",119.755470537757
"38",124.437493235931
"39",136.179450757576
"40",143.63014074026
"41",153.115421195652
"42",109.56317284689
"43",106.100747282609
"44",88.9271036255411
"45",85.404627536113
"46",101.37730254329
"47",92.3704906832298
"48",94.93341873706
"49",94.2310726817043
"50",80.8107045454545
"51",73.0756363636364
"52",79.9344052795031
"53",74.8669423558897
"54",75.6827619047619
"55",81.3485476190476
"56",80.7916257541086
"57",80.1770526315789
"58",79.2916190476191
"59",82.978658008658
"60",83.1666406926407
"61",76.9013492822966
"62",75.5293506493506
"63",78.6970538302277
"64",79.3037952380952
"65",81.0881315789474
"66",72.8779995215311
"67",74.8909782608696
"68",87.0995043290043
"69",87.41595
"70",89.5722510822511
"71",87.7667338563801
"72",100.6888126294
"73",90.3350514285714
"74",86.4992426406926
"75",79.4943939393939
"76",63.5725161223216
"77",54.0067751196172
"78",62.3609220779221
"79",72.702303030303
"80",85.9040454545455
"81",87.7614256292906
"82",84.0598100649351
"83",74.3751385281385
"84",78.9328733766234
"85",81.2003366132723
"86",75.2937532467532
"87",78.3321247412008
"88",78.2445238095238
"89",91.5343409090909
"90",91.4103874458874
"91",90.8942591260761
"92",83.8422288095238
"93",83.0800563909774
"94",98.4526363636364
"95",98.6587227272727
"96",109.199294616977
"97",112.577080200501
"98",121.416142857143
"99",133.88570021645
"100",141.094304659871
"101",130.721826555024
"102",136.957886363636
"103",134.679686147186
"104",157.981568181818
"105",157.168011961722
"106",155.94380952381
"107",169.108915113872
"108",180.440952380952
"109",192.146988558352
"110",205.607033492823
"111",219.171956521739
"112",246.415664502165
"113",274.342180451128
"114",290.75803030303
"115",325.5608139915
"116",320.899170752969
