"","x"
"1",3.83758415789474
"2",4.36995635909091
"3",4.11592639413752
"4",3.78193596200828
"5",6.16549055311005
"6",5.60715776818182
"7",5.26726339090909
"8",5.48893006180124
"9",6.82844913157895
"10",6.01899051320346
"11",4.92195724025974
"12",5.76639036818182
"13",6.11959805217391
"14",5.37069758593074
"15",3.03107322077922
"16",3.15997671645022
"17",3.70553504990738
"18",3.17224642241969
"19",3.50966154399586
"20",4.21130542857143
"21",4.32105672158657
"22",4.43859699760766
"23",4.66024748695652
"24",3.94531809199134
"25",3.07632853722944
"26",2.66442995735931
"27",2.3329675
"28",2.60480394772257
"29",1.8102237992823
"30",1.83182404329004
"31",2.17217708441558
"32",1.88204508695652
"33",2.3016134145933
"34",2.9963917517316
"35",3.91459483549784
"36",3.82692399090909
"37",4.07151124256293
"38",4.60284755151515
"39",6.51959477489177
"40",9.4421241038961
"41",12.2678583608696
"42",11.504381923445
"43",11.4876073478261
"44",3.93490634155844
"45",4.20129237571201
"46",4.84144704848485
"47",4.05077468281574
"48",4.19044011542443
"49",5.04764226203008
"50",4.87374512727273
"51",3.28860709090909
"52",3.23756773592133
"53",3.12434194736842
"54",3.55673119047619
"55",4.50219691558442
"56",4.66318131246099
"57",5.12887630469108
"58",6.13828637857143
"59",7.12309278138528
"60",11.8805409134199
"61",16.9254225576555
"62",16.2348026926407
"63",19.5701204873706
"64",27.2144668571429
"65",30.194830502746
"66",27.4993755502392
"67",28.3630273173913
"68",35.5631318097403
"69",37.8885251145933
"70",46.3150380798701
"71",58.2891440047946
"72",76.7104543518633
"73",59.4791106928571
"74",74.4902857186147
"75",68.5801447640693
"76",40.6411132017891
"77",40.0505517047847
"78",55.3854058709957
"79",70.4835142337662
"80",84.58651295
"81",89.9886793340961
"82",109.107835288528
"83",111.446152320346
"84",133.434775004329
"85",148.150372157437
"86",144.754350337013
"87",163.070400010041
"88",167.853471571429
"89",214.807881863636
"90",249.319451584632
"91",275.047334740438
"92",247.30196657619
"93",199.495814189223
"94",184.536460922727
"95",199.169015881818
"96",227.002433893892
"97",228.176904428571
"98",255.352409333333
"99",294.610776839827
"100",327.3954743083
"101",362.043497607655
"102",383.859292207792
"103",351.527835497835
"104",343.249068181818
"105",298.442720095694
"106",298.336082251082
"107",317.078860248447
"108",340.197142857143
"109",393.901773455378
"110",442.945933014354
"111",464.929304347826
"112",502.114963203463
"113",516.14037593985
"114",543.992532467532
"115",625.731199738477
"116",576.347682249101
